"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"NC_047627.1:225010-226920"	829.14202295876	-0.155611048335587	0.195581006367974	-0.795634766511087	0.426244352912848	0.999937540335271
"NC_047627.1:227790-233540"	2304.62848462189	0.0052947676128549	0.115950569891777	0.045664006807356	0.963578052273789	0.999937540335271
"NC_047627.1:236040-237110"	478.657113725909	-0.0450052683436457	0.239051797612753	-0.188265759944424	0.850668324986426	0.999937540335271
"NC_047627.1:237310-240720"	1158.99182053074	0.0474722084334272	0.200444710640586	0.236834428215713	0.812785241398524	0.999937540335271
"NC_047627.1:240770-245160"	1458.31803164242	-0.0147750718247336	0.149101009709242	-0.0990943780565008	0.921063335779793	0.999937540335271
"NC_047627.1:245410-251120"	2215.82684192749	-0.0486792319782626	0.136511126699479	-0.356595342483892	0.721394764716645	0.999937540335271
"NC_047627.1:252370-260180"	2892.41178524771	0.0847901676530295	0.129720883634115	0.653635446179852	0.513346701888981	0.999937540335271
"NC_047627.1:261190-261590"	200.593848420967	0.088564102556795	0.362459396279658	0.244342134500667	0.806965853571519	0.999937540335271
"NC_047627.1:262160-276160"	5335.45470968158	0.0671917448352324	0.0842006641687755	0.797995425553299	0.424873144712612	0.999937540335271
"NC_047627.1:276360-276890"	210.736247233184	0.466764599812257	0.364783373219446	1.27956654299444	0.200697622803111	0.999937540335271
"NC_047627.1:276900-281830"	2109.70783567524	-0.138245980283912	0.133840439269956	-1.03291636696641	0.301643038695727	0.999937540335271
"NC_047627.1:282060-283800"	705.221754269428	-0.0410366874132969	0.206396500821292	-0.198824530697002	0.842400006347311	0.999937540335271
"NC_047627.1:284080-306730"	10878.6973300581	-0.0796259190354313	0.0794196842053418	-1.00259677222534	0.316055453810808	0.999937540335271
"NC_047627.1:306780-326990"	8902.8354614645	-0.0201689890866528	0.0749011616330862	-0.269274716798832	0.787718286924775	0.999937540335271
"NC_047627.1:327110-341620"	5681.57186329781	-0.0136536795453324	0.108957509006411	-0.125311964910367	0.900276580222132	0.999937540335271
"NC_047627.1:342030-346630"	2150.47318354069	-0.10636990225065	0.125150262866681	-0.84993750563643	0.39535983214529	0.999937540335271
"NC_047627.1:347450-349420"	684.570610012584	-0.128356930482351	0.199607283770046	-0.643047328023472	0.520193390400038	0.999937540335271
"NC_047627.1:349530-351510"	850.672227769775	0.0449297366316257	0.192894589799978	0.232923778101893	0.815820593946166	0.999937540335271
"NC_047627.1:351610-355790"	1545.4201804795	-0.0934794666043078	0.138650115023965	-0.67421124452836	0.500177021777016	0.999937540335271
"NC_047627.1:356210-384880"	10812.6607330292	0.109790898340868	0.070304624576336	1.56164546788324	0.11837153194245	0.999937540335271
"NC_047627.1:385140-388740"	1399.20277852474	0.192245720142557	0.146598698312602	1.31137399141579	0.189731441405285	0.999937540335271
"NC_047627.1:389080-396030"	2922.53655783433	0.0825700892365371	0.111735572330925	0.738977637237952	0.459920576754461	0.999937540335271
"NC_047627.1:396240-401630"	2183.57509100727	0.0273773954756119	0.119913343388922	0.228309833600562	0.819405380319685	0.999937540335271
"NC_047627.1:401730-419370"	7786.94275657278	0.123581612814927	0.0748489962784749	1.65107909203142	0.0987224259473223	0.999937540335271
"NC_047627.1:419550-420950"	518.205576363363	0.0731988173971138	0.240462352156127	0.304408639193495	0.760816586789626	0.999937540335271
"NC_047627.1:421000-425290"	2249.11603632401	0.00153400972480966	0.124298721795187	0.0123413153623359	0.990153304968205	0.999937540335271
"NC_047627.1:425530-431020"	2235.50655428201	0.157871313171432	0.118596852248558	1.33115938727077	0.183136571491455	0.999937540335271
"NC_047627.1:431040-440830"	3189.63279979186	0.0352404598873218	0.112773887898429	0.312487762407036	0.754669861949693	0.999937540335271
"NC_047627.1:440880-444730"	1260.08627234578	-0.0155468915345653	0.163325878904669	-0.0951893945945936	0.924164393623281	0.999937540335271
"NC_047627.1:445610-455060"	3760.9893671305	-0.0386616744847283	0.0957625124965153	-0.403724520971974	0.686415305844135	0.999937540335271
"NC_047627.1:455090-459550"	1765.34984116867	-0.00426930512174822	0.134285999780173	-0.0317926301232973	0.974637423976714	0.999937540335271
"NC_047627.1:459680-460630"	433.925045400953	-0.133117443710301	0.252130885288042	-0.527969604192774	0.597520432913587	0.999937540335271
"NC_047627.1:461660-462810"	589.573945220805	0.0896228908847329	0.223752206420402	0.400545283188594	0.688754937562987	0.999937540335271
"NC_047627.1:463850-481890"	21123.2030182331	-0.0878845509796693	0.0739625603439327	-1.18823024204406	0.234742712087464	0.999937540335271
"NC_047627.1:482300-492780"	3828.34772850507	0.115722400724188	0.100275050758806	1.15404978455247	0.248479758892105	0.999937540335271
"NC_047627.1:492850-504340"	5227.31886557572	0.164733335097624	0.0884106822534317	1.86327410782118	0.0624237110536918	0.999937540335271
"NC_047627.1:504950-515460"	4154.85136169361	0.209279441929167	0.102580383734941	2.0401507023987	0.0413353180538881	0.999937540335271
"NC_047627.1:515740-519280"	1324.55131620434	0.0358262216187548	0.151829538157528	0.235963449889336	0.813461032144841	0.999937540335271
"NC_047627.1:519550-551230"	11284.8028125256	0.028707700107555	0.0739049067886156	0.388441056960742	0.697689665765731	0.999937540335271
"NC_047627.1:552090-553380"	533.805176200568	0.351514879340078	0.285629883984928	1.23066562376445	0.218447950189549	0.999937540335271
"NC_047627.1:553460-554030"	231.813298342239	0.407530388347722	0.361802791217305	1.1263881822928	0.260001246741478	0.999937540335271
"NC_047627.1:556460-559150"	753.115187175883	0.155831117033437	0.194234112896221	0.802285009104952	0.422388111954386	0.999937540335271
"NC_047627.1:559280-565830"	3437.57149026074	-0.0114498878987423	0.0985683179554826	-0.116161948750242	0.907524193044817	0.999937540335271
"NC_047627.1:565950-578060"	4476.61937292955	0.12941790269838	0.100051933224377	1.29350726695251	0.195835672343309	0.999937540335271
"NC_047627.1:578690-604490"	10493.076566086	0.0659557295841719	0.0764473294456271	0.86276041377067	0.388269208348501	0.999937540335271
